City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,viedma,-40.8135,-62.9967,46.35,81,62,13.53,AR,1690336778
1,weno,7.4515,151.8468,82.42,75,89,5.57,FM,1690336779
2,kodiak,57.79,-152.4072,62.11,72,0,11.5,US,1690336779
3,luchenza,-16.0069,35.3095,54.14,96,17,3.33,MW,1690336779
4,portland,45.5234,-122.6762,79.56,45,0,9.22,US,1690336651
5,ust-nera,64.5667,143.2,68.56,51,54,3.44,RU,1690336779
6,daru,-9.0763,143.2092,80.44,65,100,12.91,PG,1690336779
7,qaqortoq,60.7167,-46.0333,42.58,91,87,2.89,GL,1690336779
8,grytviken,-54.2811,-36.5092,26.58,84,76,9.31,GS,1690336780
9,port-aux-francais,-49.35,70.2167,38.48,86,100,27.83,TF,1690336780
10,blackmans bay,-43.0167,147.3167,59.13,64,100,6.93,AU,1690336780
11,thanh pho uong bi,21.0333,106.7833,89.58,64,86,4.83,VN,1690336780
12,geraldton,-28.7667,114.6,57.61,88,75,10.36,AU,1690336780
13,gadzhiyevo,69.2551,33.3362,49.53,95,99,5.95,RU,1690336780
14,mount pearl,47.5166,-52.7813,64.45,89,20,8.05,CA,1690336780
15,waitangi,-43.9535,-176.5597,49.82,96,100,3.0,NZ,1690336781
16,savelugu,9.6244,-0.8253,75.78,87,37,5.06,GH,1690336781
17,conceicao do araguaia,-8.2578,-49.2647,72.63,48,0,2.51,BR,1690336781
18,ilulissat,69.2167,-51.1,36.07,94,52,1.57,GL,1690336781
19,tiksi,71.6872,128.8694,40.86,80,98,7.34,RU,1690336781
20,isafjordur,66.0755,-23.124,43.25,83,69,8.48,IS,1690336781
21,puerto natales,-51.7236,-72.4875,28.74,90,87,5.7,CL,1690336781
22,albany,42.6001,-73.9662,69.03,88,90,4.0,US,1690336782
23,ribeira grande,38.5167,-28.7,69.78,89,10,3.0,PT,1690336782
24,bredasdorp,-34.5322,20.0403,46.99,69,94,3.62,ZA,1690336782
25,keflavik,64.0049,-22.5624,55.31,87,100,9.22,IS,1690336782
26,yellowknife,62.456,-114.3525,77.56,25,75,20.71,CA,1690336782
27,wailua homesteads,22.0669,-159.378,82.83,80,50,5.99,US,1690336782
28,hirara,24.8,125.2833,87.66,79,75,20.71,JP,1690336782
29,shenjiamen,29.9576,122.298,80.44,88,100,11.16,CN,1690336783
30,iqaluit,63.7506,-68.5145,44.33,87,100,2.3,CA,1690336783
31,edinburgh of the seven seas,-37.0676,-12.3116,52.27,55,100,20.6,SH,1690336783
32,kingston,17.997,-76.7936,86.95,79,20,5.75,JM,1690336587
33,port augusta,-32.5,137.7667,62.65,37,0,6.62,AU,1690336783
34,coutances,49.05,-1.4333,51.33,90,10,4.74,FR,1690336783
35,atafu village,-8.5421,-172.5159,83.93,71,6,17.56,TK,1690336784
36,tabou,4.423,-7.3528,75.76,91,100,6.89,CI,1690336784
37,ballina,-28.8667,153.5667,65.1,67,70,8.21,AU,1690336784
38,codrington,-38.2667,141.9667,54.82,71,100,8.7,AU,1690336784
39,invercargill,-46.4,168.35,47.03,72,85,11.7,NZ,1690336784
40,san patricio,28.017,-97.5169,87.19,67,0,12.68,US,1690336784
41,badger,64.8,-147.5333,84.11,51,75,3.44,US,1690336785
42,nalut,30.3333,10.85,88.52,13,0,6.71,LY,1690336785
43,papatowai,-46.5619,169.4708,45.82,76,52,12.95,NZ,1690336785
44,mzimba,-11.9,33.6,53.11,76,12,7.02,MW,1690336785
45,talnakh,69.4865,88.3972,69.21,52,0,1.12,RU,1690336785
46,sofo-birnin-gwari,11.0154,6.7804,70.32,88,20,2.82,NG,1690336785
47,tochio-honcho,37.4667,139.0,90.55,64,59,1.99,JP,1690336785
48,beloyarskiy,63.7119,66.6722,61.23,96,100,2.08,RU,1690336786
49,bethel,41.3712,-73.414,68.2,89,92,3.22,US,1690336786
50,barabinsk,55.3571,78.357,67.93,65,13,8.23,RU,1690336786
51,udachny,66.4167,112.4,66.45,67,100,11.92,RU,1690336787
52,tolanaro,-25.0319,46.9987,68.07,60,40,9.22,MG,1690336787
53,richards bay,-28.783,32.0377,61.86,78,82,13.91,ZA,1690336787
54,tierp,60.3427,17.5181,57.97,98,22,4.88,SE,1690336787
55,okha,53.5739,142.9478,61.18,89,97,14.45,RU,1690336787
56,cuatro cienegas de carranza,26.9833,-102.0833,89.56,29,0,17.25,MX,1690336787
57,nizhniy odes,63.6445,54.856,60.1,74,72,3.09,RU,1690336788
58,kone,-21.0595,164.8658,75.6,41,0,15.03,NC,1690336788
59,hamilton,39.1834,-84.5333,79.65,72,0,4.61,US,1690336667
60,nova sintra,14.8667,-24.7167,72.43,87,70,13.24,CV,1690336788
61,walvis bay,-22.9575,14.5053,54.09,87,0,8.05,NA,1690336788
62,adamstown,-25.066,-130.1015,73.76,80,100,38.07,PN,1690336788
63,mezhdurechenskiy,59.6,65.9333,63.84,76,5,6.46,RU,1690336789
64,peace river,56.2501,-117.286,55.71,94,100,14.97,CA,1690336510
65,fort st. john,56.2499,-120.8529,55.29,76,100,17.27,CA,1690336661
66,margaret river,-33.95,115.0667,52.63,77,100,18.9,AU,1690336789
67,crane,31.3974,-102.3501,90.14,25,88,13.33,US,1690336789
68,nar'yan-mar,67.6713,53.087,62.65,74,51,3.85,RU,1690336789
69,ushuaia,-54.8,-68.3,33.46,69,100,5.75,AR,1690336789
70,tralee,52.2704,-9.7026,57.52,92,100,5.59,IE,1690336790
71,heihe,50.2441,127.4902,75.78,52,91,2.91,CN,1690336588
72,grand falls-windsor,48.9332,-55.6649,62.01,92,21,2.73,CA,1690336790
73,port blair,11.6667,92.75,82.44,89,75,4.61,IN,1690336790
74,longyearbyen,78.2186,15.6401,51.64,54,0,11.5,SJ,1690336790
75,brixham,50.3943,-3.5159,53.33,89,2,3.0,GB,1690336790
76,santiago,-33.4569,-70.6483,55.85,80,20,5.75,CL,1690336626
77,hawaiian paradise park,19.5933,-154.9731,81.91,78,75,9.22,US,1690336629
78,kailua-kona,19.6406,-155.9956,84.27,81,100,6.91,US,1690336498
79,whitehorse,60.7161,-135.0538,68.02,69,100,14.97,CA,1690336791
80,wynyard,-41.0,145.7167,55.69,76,100,9.84,AU,1690336791
81,sterling,39.0062,-77.4286,76.19,84,75,0.0,US,1690336791
82,puerto ayora,-0.7393,-90.3518,75.54,96,43,4.0,EC,1690336791
83,aasiaat,68.7098,-52.8699,37.74,93,87,3.85,GL,1690336791
84,prince george,53.9166,-122.753,60.24,65,100,9.22,CA,1690336619
85,metlaoui,34.3208,8.4016,87.08,38,1,11.97,TN,1690336791
86,sejny,54.108,23.347,54.75,95,99,5.7,PL,1690336792
87,narsinghgarh,23.7,77.1,79.05,87,96,9.69,IN,1690336792
88,itoman,26.1247,127.6694,88.57,81,75,18.41,JP,1690336792
89,port elizabeth,-33.918,25.5701,43.09,81,0,3.44,ZA,1690336792
90,mount darwin,-16.7725,31.5838,50.25,97,16,3.78,ZW,1690336792
91,taltal,-25.4,-70.4833,59.88,80,2,7.11,CL,1690336792
92,kualakapuas,-3.0091,114.3876,84.6,58,1,3.13,ID,1690336792
93,dunedin,-45.8742,170.5036,52.07,51,10,5.01,NZ,1690336793
94,iskateley,67.6803,53.1512,62.64,74,48,4.16,RU,1690336793
95,tarko-sale,64.9225,77.785,71.82,74,27,11.59,RU,1690336793
96,georgetown,5.4112,100.3354,87.73,87,20,3.44,MY,1690336689
97,jishui,33.7333,115.4,85.71,70,70,8.25,CN,1690336793
98,huckelhoven,51.05,6.2167,57.9,81,0,4.61,DE,1690336793
99,port alfred,-33.5906,26.891,59.16,41,0,7.56,ZA,1690336793
100,sierra grande,-41.606,-65.3557,46.53,61,84,19.55,AR,1690336794
101,challapata,-18.9,-66.7667,41.9,27,0,5.75,BO,1690336794
102,lodwar,3.1191,35.5973,79.97,51,97,13.18,KE,1690336794
103,west island,-12.1568,96.8225,76.98,73,40,18.41,CC,1690336794
104,horta,38.5333,-28.6333,69.03,89,22,3.0,PT,1690336794
105,port mathurin,-19.6833,63.4167,73.83,78,37,15.17,MU,1690336794
106,pailon,-17.65,-62.75,65.3,59,31,4.61,BO,1690336795
107,bilibino,68.0546,166.4372,51.39,93,100,2.51,RU,1690336795
108,ino,33.55,133.4333,85.53,56,0,4.74,JP,1690336795
109,akrehamn,59.2667,5.1833,55.42,94,75,9.22,NO,1690336795
110,petropavlovsk-kamchatsky,53.0452,158.6483,72.19,60,20,6.71,RU,1690336795
111,uturoa,-16.7333,-151.4333,80.24,81,18,15.17,PF,1690336795
112,tura,25.5198,90.2201,78.98,91,100,6.4,IN,1690336795
113,puerto aysen,-45.4,-72.7,40.55,99,100,3.51,CL,1690336796
114,smithers,54.7804,-127.1743,64.72,72,75,2.3,CA,1690336796
115,hurricane,37.1753,-113.2899,95.5,17,51,6.6,US,1690336743
116,stanley,54.868,-1.6985,54.28,90,75,8.05,GB,1690336796
117,egilsstadir,65.2653,-14.3948,37.31,93,75,4.61,IS,1690336796
118,olonkinbyen,70.9221,-8.7187,41.86,85,100,8.72,SJ,1690336796
119,hotan,37.0997,79.9269,82.06,32,52,2.33,CN,1690336797
120,djibouti,11.5,42.5,88.86,34,100,12.95,DJ,1690336797
121,susuman,62.7833,148.1667,64.02,64,100,5.7,RU,1690336797
122,verkhovazh'ye,60.7472,42.0465,55.47,80,100,3.91,RU,1690336797
123,carbondale,37.7273,-89.2168,83.05,77,0,8.05,US,1690336797
124,revda,56.801,59.9303,61.12,71,100,3.69,RU,1690336797
125,broome,42.2506,-75.833,69.67,94,51,0.74,US,1690336798
126,la plata,-34.9215,-57.9545,53.85,98,100,9.06,AR,1690336560
127,praia da vitoria,38.7333,-27.0667,71.85,88,75,9.22,PT,1690336798
128,dudinka,69.4058,86.1778,69.62,55,0,11.12,RU,1690336798
129,afaahiti,-17.75,-149.2833,80.47,83,4,19.15,PF,1690336798
130,hermanus,-34.4187,19.2345,44.8,54,93,3.74,ZA,1690336798
131,cabo san lucas,22.8909,-109.9124,87.62,74,98,1.99,MX,1690336798
132,smederevo,44.6628,20.93,68.83,85,4,7.4,RS,1690336799
133,thompson,55.7435,-97.8558,69.96,46,40,9.22,CA,1690336799
134,tan-tan,28.438,-11.1032,66.29,94,48,10.16,MA,1690336799
135,huarmey,-10.0681,-78.1522,68.88,82,33,9.01,PE,1690336799
136,barcelos,41.5388,-8.6151,62.69,82,0,4.25,PT,1690336799
137,seryshevo,51.0933,128.3786,79.29,59,20,5.17,RU,1690336799
138,mccook,40.2019,-100.6257,91.85,50,9,5.91,US,1690336799
139,new norfolk,-42.7826,147.0587,60.3,74,100,7.23,AU,1690336800
140,rabo de peixe,37.8,-25.5833,69.31,83,40,3.44,PT,1690336800
141,dakhla,23.6848,-15.958,67.87,89,5,20.83,EH,1690336800
142,college,64.8569,-147.8028,84.18,53,75,3.44,US,1690336801
143,bikenibeu village,1.3673,173.1241,80.56,83,75,3.44,KI,1690336802
144,magadan,59.5667,150.8,76.53,66,100,4.72,RU,1690336803
145,vorgashor,67.5833,63.95,64.8,79,100,6.6,RU,1690336804
146,saint-pierre,-21.3393,55.4781,67.68,73,0,9.22,RE,1690336805
147,labrador city,52.9463,-66.9114,58.91,94,75,4.61,CA,1690336806
148,alvorada,-12.48,-49.1247,76.1,37,0,4.16,BR,1690336807
149,avarua,-21.2078,-159.775,75.25,60,0,9.22,CK,1690336808
150,tonj,7.2737,28.6822,70.95,98,100,2.44,SS,1690336809
151,port douglas,-16.4833,145.4667,69.93,96,100,7.7,AU,1690336809
152,lata,40.1629,-8.3327,63.81,95,0,2.57,PT,1690336811
153,kidal,18.4411,1.4078,91.44,38,58,6.46,ML,1690336811
154,mount isa,-20.7333,139.5,71.37,60,29,18.41,AU,1690336811
155,kaliua,-5.0606,31.7936,63.55,48,27,6.67,TZ,1690336812
156,meadow lake,34.8014,-106.5436,90.48,27,100,7.09,US,1690336812
157,port lincoln,-34.7333,135.8667,60.44,49,0,10.83,AU,1690336812
158,ziguinchor,12.5833,-16.2719,77.2,100,20,4.61,SN,1690336812
159,carnarvon,-24.8667,113.6333,64.29,58,49,17.98,AU,1690336813
160,hasaki,35.7333,140.8333,97.29,64,21,8.52,JP,1690336813
161,punta arenas,-53.15,-70.9167,30.31,91,43,10.31,CL,1690336813
162,shiguai,40.7058,110.2856,78.85,47,100,8.68,CN,1690336814
163,kharan,28.5833,65.4167,84.88,60,100,4.56,PK,1690336814
164,henderson,36.0397,-114.9819,111.54,13,0,12.66,US,1690336814
165,bandiagara,14.3501,-3.6104,87.4,49,54,7.4,ML,1690336815
166,castelo branco,39.8222,-7.4909,60.22,53,0,4.5,PT,1690336815
167,saipan,15.1355,145.701,84.65,100,75,11.5,MP,1690336815
168,hilo,19.7297,-155.09,91.27,93,35,7.83,US,1690336815
169,baruun-urt,46.6806,113.2792,79.66,39,100,12.44,MN,1690336816
170,puerto armuelles,8.2833,-82.8667,82.09,70,100,3.0,PA,1690336729
171,constantia,44.1833,28.65,74.08,67,7,19.42,RO,1690336816
172,jamestown,42.097,-79.2353,71.19,94,20,4.61,US,1690336594
173,qarqaraly,49.4058,75.4742,71.29,37,60,8.99,KZ,1690336817
174,sisimiut,66.9395,-53.6735,42.6,89,53,10.49,GL,1690336817
175,tangalle,6.024,80.7911,77.16,74,100,6.67,LK,1690336817
176,vernal,40.4555,-109.5287,87.12,31,64,1.01,US,1690336818
177,mount gambier,-37.8333,140.7667,55.38,63,100,5.3,AU,1690336818
178,petauke,-14.2426,31.3253,60.67,55,3,9.51,ZM,1690336818
179,ambajogai,18.7333,76.3833,71.89,92,100,12.95,IN,1690336818
180,port-gentil,-0.7193,8.7815,73.92,90,60,10.29,GA,1690336819
181,queenstown,-31.8976,26.8753,50.99,20,55,7.76,ZA,1690336819
182,tazovsky,67.4667,78.7,54.37,70,39,11.79,RU,1690336819
183,santa maria de cayon,43.3079,-3.8756,66.09,81,75,9.22,ES,1690336820
184,muravlenko,63.7898,74.523,66.74,82,98,6.78,RU,1690336820
185,tortoli,39.9256,9.6572,75.02,46,0,17.27,IT,1690336820
186,inirida,3.8653,-67.9239,71.92,99,100,1.54,CO,1690336820
187,arraial do cabo,-22.9661,-42.0278,67.08,94,2,9.93,BR,1690336820
188,eaglehawk,-36.7333,144.25,55.56,55,44,2.98,AU,1690336821
189,remire-montjoly,4.9167,-52.2667,77.04,94,0,1.14,GF,1690336821
190,el bolson,-41.9667,-71.5167,38.71,98,100,3.78,AR,1690336798
191,pitimbu,-7.4706,-34.8086,73.99,89,61,6.49,BR,1690336821
192,kotli,33.5167,73.9167,81.28,73,15,1.72,PK,1690336822
193,alexandria,31.2156,29.9553,79.34,79,0,8.99,EG,1690336568
194,sitka,57.0531,-135.33,62.49,77,100,4.61,US,1690336822
195,puerto lempira,15.2667,-83.7667,83.19,77,6,12.44,HN,1690336823
196,dadukou,26.5479,101.7054,77.65,86,100,1.23,CN,1690336823
197,lompoc,34.6391,-120.4579,87.94,75,0,9.22,US,1690336823
198,as sulayyil,20.4607,45.5779,84.45,10,98,4.85,SA,1690336823
199,whistler,50.1164,-122.9695,56.43,82,75,3.44,CA,1690336824
200,vadso,70.0744,29.7487,49.08,93,100,6.91,NO,1690336824
201,port shepstone,-30.7414,30.455,55.98,55,100,4.79,ZA,1690336825
202,antonio enes,-16.2325,39.9086,62.92,93,9,4.72,MZ,1690336826
203,amahai,-3.3333,128.9167,76.42,90,100,6.98,ID,1690336826
204,sharypovo,55.5403,89.2008,67.5,72,90,14.72,RU,1690336827
205,pacific grove,36.6177,-121.9166,74.01,84,0,9.22,US,1690336809
206,yueyang,29.3333,113.0919,85.48,76,73,5.35,CN,1690336827
207,usinsk,65.9939,57.5281,62.89,72,100,0.89,RU,1690336827
208,enewetak,11.3474,162.3373,83.19,80,80,15.68,MH,1690336828
209,lebu,-37.6167,-73.65,51.4,77,7,2.26,CL,1690336828
210,ak-suu,42.4995,78.527,74.23,25,0,4.32,KG,1690336831
211,emerald,-23.5333,148.1667,69.35,48,0,18.97,AU,1690336650
212,ceelbuur,4.685,46.6176,73.56,78,72,18.39,SO,1690336833
213,p'ot'i,42.1462,41.672,70.93,87,0,8.46,GE,1690336834
214,nuuk,64.1835,-51.7216,45.21,81,7,13.0,GL,1690336834
215,ushtobe,45.2514,77.9838,89.29,15,77,5.3,KZ,1690336835
216,sao gabriel da cachoeira,-0.1303,-67.0892,73.62,98,100,2.04,BR,1690336839
217,sarupathar,26.1984,93.8094,79.18,96,100,1.57,IN,1690336840
218,bardai,11.65,7.2333,73.33,81,62,5.08,NG,1690336841
219,wewak,-3.5534,143.6268,82.17,75,77,7.76,PG,1690336841
220,quinhamel,11.8833,-15.85,77.13,93,99,2.86,GW,1690336841
221,alto araguaia,-17.3147,-53.2153,67.86,42,0,3.74,BR,1690336841
222,kourou,5.1552,-52.6478,77.05,91,39,5.12,GF,1690336807
223,lazaro cardenas,17.9583,-102.2,81.91,77,97,2.21,MX,1690336842
224,acarau,-2.8856,-40.12,80.53,82,52,20.18,BR,1690336842
225,gunjur,13.2019,-16.7339,73.47,100,40,0.0,GM,1690336842
226,kolonia town,6.964,158.206,83.37,76,50,11.01,FM,1690336842
227,san antonio de pale,-1.4014,5.6325,73.11,92,100,10.94,GQ,1690336843
228,la calera,-31.3438,-64.3353,48.58,82,40,2.3,AR,1690336843
229,tual,-5.6667,132.75,77.97,80,100,19.28,ID,1690336843
230,tingo maria,-9.2895,-76.0088,73.15,74,41,3.85,PE,1690336843
231,misratah,32.3754,15.0925,89.42,45,0,9.13,LY,1690336843
232,tashtagol,52.7657,87.8894,64.58,78,95,4.63,RU,1690336843
233,roma,43.2128,-75.4557,71.73,91,0,0.0,US,1690336844
234,mugia,43.1041,-9.2179,59.92,84,100,5.5,ES,1690336844
235,kendari,-3.945,122.4989,80.91,72,73,3.44,ID,1690336844
236,vila velha,-20.3297,-40.2925,69.75,98,100,0.0,BR,1690336844
237,simenqian,27.4872,110.8861,77.13,96,100,2.93,CN,1690336844
238,gunsan,35.9786,126.7114,85.89,66,20,5.75,KR,1690336845
239,yaren,-0.5472,166.916,80.06,81,100,13.56,NR,1690336845
240,es castell,39.8795,4.2854,75.88,60,20,13.8,ES,1690336845
241,port saint john's,-31.6229,29.5448,56.84,54,100,4.5,ZA,1690336845
242,mundybash,53.211,87.2983,64.02,88,61,2.98,RU,1690336846
243,east london,-33.0153,27.9116,57.6,20,21,4.5,ZA,1690336846
244,mejit,10.2753,170.8646,83.05,80,100,18.03,MH,1690336846
245,kirakira,-10.4544,161.9205,82.17,81,38,21.05,SB,1690336846
246,qarazhal,48.0078,70.7903,78.01,33,57,5.5,KZ,1690336847
247,hami,42.8,93.45,93.45,11,0,13.33,CN,1690336847
248,orchard homes,46.8633,-114.0484,82.4,37,0,8.01,US,1690336847
249,brisas de zicatela,15.8369,-97.0419,78.55,93,100,2.62,MX,1690336847
250,goba,7.0167,39.9833,52.0,89,62,3.47,ET,1690336847
251,spring creek,40.7266,-115.5859,91.09,22,30,10.18,US,1690336848
252,christchurch,-43.5333,172.6333,52.41,55,11,17.27,NZ,1690336772
253,gaspe,48.8334,-64.4819,66.11,100,100,3.44,CA,1690336750
254,valle de la pascua,9.2155,-66.0073,73.47,96,100,0.94,VE,1690336848
255,ibiza,38.9088,1.433,79.81,85,20,6.91,ES,1690336639
256,santa elena de uairen,4.6167,-61.1333,69.04,88,68,4.7,VE,1690336848
257,birjand,32.8663,59.2211,72.07,20,0,6.91,IR,1690336848
258,tofol,5.3248,163.0078,82.18,83,75,11.5,FM,1690336849
259,hamamatsu,34.7,137.7333,91.92,68,100,3.0,JP,1690336819
260,ma'rib,15.4591,45.3253,85.39,25,57,8.93,YE,1690336849
261,rio san juan,19.6439,-70.0763,81.9,80,52,16.2,DO,1690336849
262,orsa,54.5153,30.4053,60.4,96,100,3.15,BY,1690336849
263,rawson,-43.3002,-65.1023,43.84,79,34,19.22,AR,1690336754
264,cibitoke,-2.8833,29.25,60.82,74,16,4.47,BI,1690336849
265,malinyi,-8.9333,36.1333,62.31,71,2,1.97,TZ,1690336850
266,kryve ozero,47.9524,30.3493,70.11,76,100,13.35,UA,1690336850
267,kargasok,59.0556,80.8572,65.68,80,49,6.17,RU,1690336850
268,manikpur,25.0667,81.1167,88.83,58,79,8.79,IN,1690336850
269,ta`u,-14.2336,-169.5144,78.19,70,100,8.86,AS,1690336850
270,palikir - national government center,6.9248,158.1611,82.31,76,50,11.01,FM,1690336850
271,manokwari,-0.8667,134.0833,83.52,69,21,4.21,ID,1690336851
272,island harbour,50.724,-1.2758,55.92,89,17,4.72,GB,1690336851
273,lospalos,-8.5186,127.0025,71.73,73,70,9.66,TL,1690336851
274,awjilah,29.1081,21.2869,84.79,28,0,7.23,LY,1690336851
275,guerrero negro,27.9769,-114.0611,67.53,87,20,14.34,MX,1690336851
276,axim,4.8699,-2.2405,75.52,93,99,3.83,GH,1690336851
277,mutare,-18.9707,32.6709,56.23,86,97,3.78,ZW,1690336852
278,arvayheer,46.2639,102.775,62.62,47,9,11.45,MN,1690336852
279,prudentopolis,-25.2131,-50.9778,59.86,69,98,1.34,BR,1690336852
280,utrik,11.2278,169.8474,83.5,79,81,17.58,MH,1690336852
281,vilyuysk,63.7553,121.6247,71.13,37,67,8.03,RU,1690336853
282,sur,22.5667,59.5289,84.15,83,58,1.54,OM,1690336853
283,tsuruoka,38.7217,139.8217,86.04,70,40,11.5,JP,1690336853
284,taro,-8.3862,115.28,73.4,76,54,3.85,ID,1690336853
285,bolobo,-2.1667,16.2333,78.94,55,44,4.76,CD,1690336853
286,rongelap,11.1635,166.8941,83.37,73,100,15.23,MH,1690336853
287,kishtwar,33.3167,75.7667,72.77,81,21,0.51,IN,1690336854
288,tvoroyri,61.5556,-6.8111,49.6,89,100,5.12,FO,1690336854
289,yarmouth,41.7057,-70.2286,75.99,86,75,9.22,US,1690336854
